title,artist,composer,lyricist,dates
Post Malone,Better Now,"['Hip-Hop', 'rap', 'trap', 'cloud rap', 'hip hop']"
SEKAI NO OWARI,Illumination,[]
Zayn,Let Me,"['pop', 'british', 'male vocalists', 'sexy', 'singer-songwriter']"
Billie Eilish,bellyache,"['pop', 'electropop', 'indie', 'alternative', '2010s']"
Camila Cabello,Real Friends,"['pop', 'sadly beautiful', 'love yourself', 'rnb', '2010s']"
Barry Manilow,Memory,"['pop', '80s', 'easy listening', 'superrock kyoi', 'memory']"
Ariana Grande,Imagine,"['rnb', 'pop', 'female vocalists', 'Ariana Grande', 'r&b']"
Khalid,Better,"['pop', 'american', 'rnb', 'Khalid', '2018 single']"
"Calvin Harris,Sam Smith",Promises,[]
Halsey,Without Me,"['pop', 'rnb', 'halsey', 'alternative', 'hit']"
Queen,Hammer To Fall,"['rock', 'classic rock', 'Queen', 'hard rock', '80s']"
"Marshmello,Bastille",Happier,[]
Jessie J,Thunder,"['pop', 'soul', 'Love it', 'british', 'power pop']"
Ariana Grande,Breathin,"['pop', 'bop', 'love at first listen', 'female vocalists', 'rnb']"
Billie Eilish,come out and play,"['indie', 'pop', 'indie pop', 'alternative', '2010s']"
Shawn Mendes,Lost In Japan,"['pop', 'dance', 'Love', 'Canadian', 'Justin Timberlake']"
XXXTENTACION,Moonlight,"['Hip-Hop', 'emo', 'rap', 'hip hop', 'rnb']"
"Kanye West,Lil Pump",I Love It,[]
Ella Mai,Trip,"['british', 'rnb', 'bouncy', 'trip', 'fallon']"
Camila Cabello,Consequences,"['pop', 'sad', 'piano', 'acoustic', 'rnb']"
Dr.Dre(Feat.Snoop Dogg),The Next Episode,[]
Mariah Carey,With You,"['soul', 'rnb', 'Ballad', 'female vocalists', 'singer-songwriter']"
Mike Whitla,Baby Shark,[]
Avril Lavigne,Head Above Water,"['rock', 'pop rock', 'pop', 'christian', 'best of 2018']"
HRVY,Personal,"['british', 'party', '2017 single']"
The Outfield,Your Love,"['80s', 'rock', 'classic rock', 'new wave', 'pop']"
Travis Scott,SICKO MODE,"['rap', 'Hip-Hop', 'hip hop', 'american', 'trap']"
Billie Eilish,bury a friend,"['pop', 'alternative', '2010s', 'electropop', 'dark pop']"
Queen,Now I'm Here,"['rock', 'classic rock', 'Queen', '70s', 'glam rock']"
Queen,I Want It All,"['classic rock', 'rock', 'Queen', '80s', 'hard rock']"
Queen,Keep Yourself Alive,"['classic rock', 'rock', 'hard rock', '70s', 'Queen']"
Post Malone,Wow.,"['rap', 'Hip-Hop', 'hip hop', 'male', 'pop']"
S Club 7,Have You Ever,"['pop', 'romantic', 'Ballad', 'S Club 7', 'Love']"
"Cardi B,Bruno Mars",Please Me,[]
Billie Eilish,wish you were gay,"['2010s', 'pop', 'electropop', 'contemporary rnb', '2019']"
Christopher,Bad,"['boring', 'sellout', 'cheap', 'generic', 'mainstream']"
"Lauv,Troye Sivan",I'm so tired...,[]
"Sam Smith,Normani",Dancing With A Stranger,[]
"Khalid,Disclosure",Talk,[]
"The Chainsmokers,5 Seconds Of Summer",Who Do You Love,[]
Ariana Grande,"Break up with your girlfriend, I'm bored","['pop', 'trap', 'rnb', 'yuh', 'trip-hop']"
Michelle Shaprow,Back Down To Earth,[]
Zara Larsson,Ruin My Life,"['pop', 'swedish', 'chill', 'synthpop', 'electropop']"
Ariana Grande,Snow In California,"['christmas', 'pop', 'Ballad', '2013', 'r&b']"
Ariana Grande,Sweetener,"['pop', 'trap', 'female vocalists', 'rnb', 'seen live']"
Red Velvet,SAPPY,"['japanese', 'JPop', 'j-pop', 'electro-pop']"
Jonas Brothers,Sucker,"['pop', 'rock', 'dance', 'pop rock', 'party']"
Stevie B.,Waiting For Your Love,"['easy listening', 'love songs', 'latin freestyle', 'Catherine and Coskun']"
Ariana Grande,bloodline,"['pop', 'female vocalists', 'bop', 'love at first listen', 'farofa']"
Lauv(Feat.Julia Michaels),There's No Way,[]
Dua Lipa,Hotter Than Hell,"['pop', 'dance', 'electronic', 'british', 'catchy']"
Khalid,My Bad,"['american', 'rnb']"
"Ellie Goulding,Diplo,Swae Lee",Close To Me,[]
"Benny blanco,Halsey,Khalid",Eastside,[]
Billie Eilish,bad guy,"['electropop', 'pop', 'dance-pop', 'indie pop', 'indie']"
Ed Sheeran,Supermarket Flowers,"['british', 'sad', 'fav', 'sad songs', 'hino']"
Tiffany,Can't You See,"['pop', 'emo', 'easy listening', 'soft rock', 'Pop-Rock']"
Jeremy Zucker,Comethru,"['indie', 'pop', 'indie pop', 'Awesome', 'Favorite']"
"Alan Walker,Sabrina Carpenter,Farruko",On My Way,[]
Ariana Grande,make up,"['pop', 'seen live', 'rap', 'female vocalists', 'rnb']"
"Ed Sheeran,Justin Bieber",I Don't Care,[]
Shawn Mendes,If I Can't Have You,"['pop', 'Canadian', 'male vocalists', 'shawn mendes', 'piano']"
Lim Kim,SAL-KI,[]
"Alan Walker,Sophia Somajo",Diamond Heart,[]
Nulbarich,NEW ERA,[]
Alan Walker,Alone,"['EDM', 'electronic', 'dance', 'House', 'norwegian']"
Lil Dicky,Earth,"['pop', 'cringe', 'Hip-Hop', 'USA', 'american']"
Charlie Puth,Left Right Left,['pop']
Billie Eilish,when the party's over,"['pop', 'Ballad', '2010s', 'indie pop', 'alternative']"
The Chainsmokers,Kills You Slowly,"['pop', 'dance', 'eletronic', 'EDM']"
Katy Perry,Never Really Over,"['pop', 'pop perfection', 'electropop', '2019', 'katy perry']"
Ava Max,Sweet but Psycho,"['pop', 'generic', 'electropop', '2010s', '2018']"
SEVENTEEN,Happy Ending,[]
Taylor Swift,You Need To Calm Down,"['pop', 'taylor swift', 'synthpop', '2019', '2010s']"
Justin Bieber,Flatline,"['pop', 'love at first listen', 'Iloveit', 'Amazing song', 'bonus track']"
Gallant,Weight In Gold,"['american', 'rnb', 'fallon', '2015', 'BIRP']"
Rita Ora,Your song,"['pop', 'british', 'party', 'not a cover', '2017']"
DPR CREAM,Color Drive,[]
Rita Ora,Anywhere,"['pop', 'electronic', 'hino', 'british', 'electropop']"
Ariana Grande,NASA,"['pop', 'rnb', 'female vocalists', 'seen live', 'american']"
Panic! At The Disco,High Hopes,"['alternative', 'indie', 'indie rock', 'pop', 'pop rock']"
Halsey,Nightmare,"['pop', 'rock', 'alternative', 'pop rock', 'punk']"
Dan+Shay,Speechless,[]
CIX,Movie Star,"['sex', 'k-pop', 'Pops In Seoul']"
LANY&Julia Michaels,Okay,"['pop', 'synth pop']"
Lauv,Sad Forever,"['indie pop', 'sad', 'Free Tibet', 'hairy chest', 'hunks']"
Lil Nas X,Panini,"['trap', 'rap', 'pop rap', 'trap rap', '2019']"
"The Chainsmokers,Bebe Rexha",Call You Mine,[]
ITZY(있지),ICY,[]
A.C.E(에이스),UNDER COVER,[]
Tom Jones,I'm Coming Home,"['coming home by tom jones', 'vocal', 'pop', 'classic rock', 'Tom Jones']"
"DPR LIVE,DPR CREAM",Gravity,[]
Pink Sweat$,Honesty,['kimmel']
Kiana Lede,EX,[]
Twice,HAPPY HAPPY,"['JPop', 'j-pop', 'la la la', '2019', 'unbridled optimism']"
FANXY CHILD,Y,[]
"Ariana Grande,Social House",boyfriend,[]
Sam Smith,How Do You Sleep?,"['pop', 'synthpop', 'british', 'dance', 'dance-pop']"
Simon Dominic,DAx4,[]
Lauv,Never Not,"['indie pop', 'hairy chest', 'hunks']"
NCT DREAM,Fireflies,[]
Aimer,April Showers,[]
Twice,Breakthrough,"['pop', 'japanese', 'dance', 'JPop', 'j-pop']"
"Lauv,Anne-Marie","fuck, I'm lonely",[]
Bazzi,I.F.L.Y.,"['pop', 'rnb', '2010s', '2019']"
Dean Lewis,Be Alright,"['pop', 'australian', 'indie pop', 'singer-songwriter', 'Pop-Rock']"
Bebe Rexha,I'm a Mess,"['mental illness', '2010s', '2018', 'pop', 'rock']"
Julio Iglesias,Crazy,"['romantic', 'latin', 'julio iglesias', 'love song', 'Julio']"
Post Malone,Circles,"['pop', 'indie pop', '2010s', 'pop rock', '2019']"
Taylor Swift,Lover,"['pop', 'country', 'Ballad', '2010s', 'taylor swift']"
Imagine Dragons,Walking The Wire,"['IMAGINE DRAGONS', 'indie', 'rock', 'indie rock', 'american']"
Billie Eilish,COPYCAT,"['pop', 'alternative', 'indie', '2010s', 'Billie Eilish']"
Jose Feliciano,Che sara,"['cool', 'jaka to melodia']"
Abir,Tango,[]
Harry Styles,Adore You,"['pop', '2010s', '2019', 'british', 'rock']"
Kenny Rogers,Coward of the county,"['country', 'kenny rogers', 'classic country', 'coward of the county', 'classic']"
Tones And I,Dance Monkey,"['pop', '2019', '2010s', 'tones and i', 'electropop']"
"Zedd,Kehlani",Good Thing,[]
Camila Cabello,Living Proof,"['pop', '2010s', 'Camila Cabello', 'rnb', 'sex music']"
Joji,SLOW DANCING IN THE DARK,"['soul', 'rnb', 'alternative rnb', 'joji', 'Hip-Hop']"
NF,Time,[]
Khalid,Up All Night,[]
The Weeknd,Blinding Lights,"['synthpop', 'synthwave', 'The Weeknd', 'pop', '2010s']"
Lauv,Changes,"['indie', 'jazz', 'pop', 'hairy chest', 'hunks']"
Harry Styles,Falling,"['pop', 'rock', 'alternative', 'indie pop', 'chill']"
Billy Preston,I'm Never Gonna Say Goodbye,"['rock', 'goodbye']"
Conan Gray,Maniac,"['indie pop', 'indie', 'pop', 'resentment', '2019']"
HRVY,Told You So,[]
"Shaed,ZAYN",Trampoline,[]
Jonas Brothers,What A Man Gotta Do,"['pop', 'ryan tedder', '2020', '2020s', 'linedance 2020']"
Justin Bieber,Yummy,"['black metal', 'pop', '2020', 'rnb', 'christmas']"
Lizzo,Juice,"['pop', 'funk', 'Disco', 'Hip-Hop', 'rap']"
DPR LIVE,LEGACY,[]
UMI,Love Affair,['indie']
Lauv,Modern Loneliness,"['piano', 'Ballad', 'lonely']"
Billie Eilish,No Time To Die,"['james bond', '2020', 'Soundtrack', 'Ballad', '2020s']"
David Archuleta,O Come All Ye Faithful,"['christmas', 'pop', '2009', 'traditional', 'holiday']"
Dua Lipa,Physical,"['pop', 'synthpop', 'dance', '2020', 'Disco']"
Lauv,Tattoos Together,[]
Sam Smith,To Die For,"['2020', 'pop', '2010s', 'sam smith', '2020s']"
Irene Cara,Anyone Can See,"['80s', 'latin', 'title track', 'pop ballad', 'Pop Life']"
Dua Lipa,Break My Heart,"['pop', 'Disco', 'dance', 'dance-pop', '2020']"
Trevor Daniel,Falling,"['2010s', '2019', 'trevor daniel', 'pop']"
Mac Miller,Good News,"['indie pop', 'fip', 'Neo-Soul', 'posthumous', 'mac miller']"
"H&D(한결,도현)",GOOD NIGHT,[]
Daft Punk,Something About Us,"['electronic', 'chillout', 'electronica', 'Daft Punk', 'chill']"
Alicia Keys,Underdog,"['rnb', 'Ed Sheeran', 'beautiful_soul']"
Halsey,You should be sad,"['2020', 'country', 'indie pop', 'country pop', '2020s']"
Jeremy Zucker,"Always, i'll care",[]
BENEE,Glitter,[]
Surfaces,Good day,[]
NCT 127,NonStop,['Kpop']
NCT 127,Punch,"['Kpop', 'beautiful', 'amazing', 'Korean', 'k-pop']"
Doja Cat,Say So,"['Disco', 'pop', 'rap', 'Hip-Hop', 'female vocalists']"
Neil Diamond,September Morn,"['pop', 'singer-songwriter', '70s', 'oldies', 'Neil Diamond']"
NCT 127,Sit Down!,"['hip hop', 'rnb', 'better than the title track', 'Dont get up dont stand up please dont put your hand up and dont make me tell you again', 'johnny you mad boy']"
Mae Muller,Therapist,['la la la']
Drake,Toosie Slide,"['Drake', 'hip hop', 'rap', 'bop', 'Trash']"
Ed Sheeran,What Do I Know?,"['pop', 'cute', 'Ed Sheeran', '÷']"
IU,Into the I-LAND,[]
"Lady GaGa,Ariana Grande",Rain On Me,[]
Megan Thee Stallion,Savage,"['trap', 'hip hop', 'vanity', 'ah', 'snl']"
"Ariana Grande,Justin Bieber",Stuck With U,[]
Troye Sivan,Take Yourself Home,"['pop', 'alternative', 'indie pop', 'love at first listen', 'contemporary rnb']"
Nat King Cole,The Christmas Song,"['christmas', 'xmas', 'jazz', 'Christmas Songs', 'nat king cole']"
"Marshmello,Halsey",Be Kind,[]
Lil Mosey,Blueberry Faygo,"['rap', '2010s', '2019', '2020', 'hype rap']"
Gloria Estefan,I'm Not Giving You Up,"['pop', 'latin', 'female vocalists', '90s', 'love songs']"
Billie Eilish,ilomilo,"['electropop', '2010s', 'pop', 'alternative', 'Billie Eilish']"
Andrea Bocelli,Mai Piu Cosi Lontano,[]
HONNE,no song without you,[]
The Weeknd,Scared To Live,"['pop', 'power pop', 'new wave', 'Retro', 'r&b']"
Rin音,snow jam,[]
Maren Morris,The Bones,"['pop', 'country', 'female vocalists', '2010s', 'radio disney']"
Virginia To Vegas,what are we,[]
"Jonas Blue,HRVY",Younger,[]
TREASURE,BOY,"['Korean', 'k-pop', 'Kpop', 'YG Entertainment', 'ROTY']"
Dua Lipa,Boys Will Be Boys,"['pop', 'Dross', 'justin tranter', 'Future Nostalgia (The Moonlight Edition)']"
James Smith,Call Me When It's Over,['singer-songwriter']
Taylor Swift,cardigan,"['indie', 'chamber pop', 'folk', 'alternative', 'indie pop']"
Twice,Fanfare,['j-pop']
CRAVITY,Flame,[]
Charlie Puth,Girlfriend,"['pop', 'bop', 'summer', '2020', 'best of 2020']"
KARD,GUNSHOT,"['k-pop', 'Korean', 'Kpop']"
AGUST D,Interlude: Set me free,[]
NiziU,Make you happy,"['j-pop', 'perfect']"
Barry Manilow,Mandy,"['pop', 'easy listening', 'oldies', '80s', '70s']"
Meghan Trainor,No Excuses,"['pop', '2018', 'dance', 'american', 'party']"
Maroon 5,Nobody's Love,"['2020', 'pop', 'Hope', 'fav', 'E']"
ITZY(있지),Not Shy,[]
Emotional Oranges,West Coast Love,[]
Joni Mitchell,Both Sides Now,"['folk', 'female vocalists', 'singer-songwriter', 'sad', 'beautiful']"
CLC,HELICOPTER,"['Kpop', 'pop', 'Korean', 'k-pop', 'girl group']"
Hudson Thames,Last Call,[]
Billie Eilish,my future,"['indie pop', '2020', 'alternative rnb', 'Billie Eilish', 'indie']"
Gallant,Only One,[]
Troye Sivan,Rager teenager!,"['pop', 'alternative', 'indie pop', 'ambient pop', 'synthpop']"
SAINt JHN,Roses,[]
"Jawsh 685,Jason Derulo",Savage Love (Laxed - Siren Beat),[]
